"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Thank you to the great men and women of the United States @SecretService for a job well done!",FALSE,86442,NA,2018-02-23 22:46:47,FALSE,NA,"967168890232082433",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15533,FALSE,FALSE,NA,NA
"Today, @FLOTUS Melania and I were honored to welcome Prime Minister @TurnbullMalcolm and Mrs. Turnbull of Australia… https://t.co/PeVPje9xba",FALSE,46863,NA,2018-02-23 21:19:37,TRUE,NA,"967146956094083073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",8919,FALSE,FALSE,NA,NA
"Our nation’s motto is IN GOD WE TRUST. This week, our nation lost an incredible leader who devoted his life to help… https://t.co/gQzYg1Xq8r",FALSE,85043,NA,2018-02-23 17:12:40,TRUE,NA,"967084806726127616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20721,FALSE,FALSE,NA,NA
"We salute our great American flag, we put our hands on our hearts for the pledge of Allegiance, and we all PROUDLY… https://t.co/BoR8a2Kn29",FALSE,72693,NA,2018-02-23 17:08:42,TRUE,NA,"967083810981597185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16728,FALSE,FALSE,NA,NA
"After years of rebuilding OTHER nations, we are finally rebuilding OUR nation - and we are restoring our confidence… https://t.co/LXqvjEMR5D",FALSE,68887,NA,2018-02-23 17:06:36,TRUE,NA,"967083281974951939",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15943,FALSE,FALSE,NA,NA
"For those of you who are still interested, the Democrats have totally forgotten about DACA. Not a lot of interest on this subject from them!",FALSE,97354,NA,2018-02-23 13:09:54,FALSE,NA,"967023714268319744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24724,FALSE,FALSE,NA,NA
"My daughter, Ivanka, just arrived in South Korea. We cannot have a better, or smarter, person representing our country.",FALSE,98039,NA,2018-02-23 13:07:07,FALSE,NA,"967023015035797504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14468,FALSE,FALSE,NA,NA
"CPAC Today!",FALSE,46619,NA,2018-02-23 13:01:09,FALSE,NA,"967021512455802881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",7819,FALSE,FALSE,NA,NA
"MS-13 gang members are being removed by our Great ICE and Border Patrol Agents by the thousands, but these killers… https://t.co/ktMXRRb97k",FALSE,124923,NA,2018-02-23 11:28:35,TRUE,NA,"966998215592677376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",28282,FALSE,FALSE,NA,NA
"“School shooting survivor says he quit @CNN Town Hall after refusing scripted question.” @TuckerCarlson. Just like… https://t.co/wDQm1urt9V",FALSE,112826,NA,2018-02-23 01:26:26,TRUE,NA,"966846679784837120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",32048,FALSE,FALSE,NA,NA
"Today, it was my great honor to host a School Safety Roundtable at the @WhiteHouse with State and local leaders, la… https://t.co/BtEV9OqmNJ",FALSE,82784,NA,2018-02-22 20:07:20,TRUE,NA,"966766375292358659",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18619,FALSE,FALSE,NA,NA
"On behalf of an entire Nation, CONGRATULATIONS to the U.S. Women's Hockey Team on winning the GOLD! #GoTeamUSA… https://t.co/1dpsf8yqdq",FALSE,102885,NA,2018-02-22 16:29:50,TRUE,NA,"966711641378381826",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","realDonaldTrump",18317,FALSE,FALSE,NA,NA
"Will be meeting with Lawmakers today at 11:30 A.M. to discuss School Safety.  Next week it will be with our Nation’… https://t.co/USyL5x0ujR",FALSE,105667,NA,2018-02-22 14:53:52,TRUE,NA,"966687491616059392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19777,FALSE,FALSE,NA,NA
"What many people don’t understand, or don’t want to understand, is that Wayne, Chris and the folks who work so hard… https://t.co/4I87uxDsqD",FALSE,92412,NA,2018-02-22 14:31:35,TRUE,NA,"966681883206668289",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22784,FALSE,FALSE,NA,NA
